# SIMULATED DATA, procedural CMB-like field (NOT real Planck data)
# Generated by: /scripts/simulate/cmb_map.ts
# To replace with real Planck SMICA: see /scripts/fetch/cmb_map.md
# Real source: Planck 2018 results IV, A&A 641, A4
# Schema: x (Mollweide, -2..2), y (Mollweide, -1..1), t_uk (microkelvin)
# Grid: 480x240 Mollweide cells, 89876 interior points
x,y,t_uk
0.0793,-0.9833,-80.04
0.0877,-0.9833,37.41
0.0960,-0.9833,34.31
0.1044,-0.9833,-99.94
0.1127,-0.9833,91.10
0.1211,-0.9833,-133.68
0.1294,-0.9833,-18.20
0.1378,-0.9833,-107.20
0.1461,-0.9833,22.49
0.1545,-0.9833,-59.02
0.1628,-0.9833,-41.26
0.1712,-0.9833,8.69
0.1795,-0.9833,77.74
0.1879,-0.9833,-95.90
0.1962,-0.9833,114.83
0.2046,-0.9833,-155.56
0.2129,-0.9833,-38.84
0.2213,-0.9833,-48.70
0.2296,-0.9833,-138.56
0.2380,-0.9833,-158.37
0.2463,-0.9833,-330.04
0.2547,-0.9833,-219.84
0.2630,-0.9833,-194.79
0.2714,-0.9833,7.30
0.2797,-0.9833,-104.78
0.2881,-0.9833,-127.31
0.2965,-0.9833,17.58
0.3048,-0.9833,-33.68
0.3132,-0.9833,-37.19
0.3215,-0.9833,-40.69
0.3299,-0.9833,-68.30
0.3382,-0.9833,120.53
0.3466,-0.9833,51.98
0.3549,-0.9833,55.30
0.3633,-0.9833,6.65
-0.4384,-0.9749,-19.74
-0.4301,-0.9749,-2.48
-0.4217,-0.9749,31.84
-0.4134,-0.9749,78.54
-0.4050,-0.9749,20.01
-0.3967,-0.9749,71.01
-0.3883,-0.9749,-40.35
-0.3800,-0.9749,36.43
-0.3716,-0.9749,49.09
-0.3633,-0.9749,-46.29
-0.3549,-0.9749,63.86
-0.3466,-0.9749,272.96
-0.3382,-0.9749,-106.32
-0.3299,-0.9749,44.40
-0.3215,-0.9749,-1.49
-0.3132,-0.9749,78.20
-0.3048,-0.9749,165.00
-0.2965,-0.9749,-59.70
-0.2881,-0.9749,36.23
-0.2797,-0.9749,39.79
-0.2714,-0.9749,-4.41
-0.2630,-0.9749,4.55
-0.2547,-0.9749,11.44
-0.2463,-0.9749,24.99
-0.2380,-0.9749,9.46
-0.2296,-0.9749,0.39
-0.2213,-0.9749,123.35
-0.2129,-0.9749,-11.39
-0.2046,-0.9749,56.87
-0.1962,-0.9749,82.14
-0.1879,-0.9749,84.24
-0.1795,-0.9749,147.77
-0.1712,-0.9749,-122.17
-0.1628,-0.9749,86.95
-0.1545,-0.9749,72.73
-0.1461,-0.9749,-40.31
-0.1378,-0.9749,81.42
-0.1294,-0.9749,68.14
-0.1211,-0.9749,-8.99
-0.1127,-0.9749,36.11
-0.1044,-0.9749,78.38
-0.0960,-0.9749,53.84
-0.0877,-0.9749,-56.83
-0.0793,-0.9749,1.82
-0.0710,-0.9749,150.32
-0.0626,-0.9749,47.70
-0.0543,-0.9749,188.43
-0.0459,-0.9749,162.54
-0.0376,-0.9749,117.92
-0.0292,-0.9749,120.33
-0.0209,-0.9749,65.96
-0.0125,-0.9749,21.42
-0.0042,-0.9749,54.94
0.0042,-0.9749,194.82
0.0125,-0.9749,159.18
0.0209,-0.9749,163.54
0.0292,-0.9749,-130.79
0.0376,-0.9749,99.11
0.0459,-0.9749,58.47
0.0543,-0.9749,-103.55
0.0626,-0.9749,115.10
0.0710,-0.9749,59.95
0.0793,-0.9749,101.33
0.0877,-0.9749,-107.00
0.0960,-0.9749,55.72
0.1044,-0.9749,-39.67
0.1127,-0.9749,-4.77
0.1211,-0.9749,143.28
0.1294,-0.9749,-21.79
0.1378,-0.9749,-56.38
0.1461,-0.9749,-106.22
0.1545,-0.9749,104.10
0.1628,-0.9749,-125.12
0.1712,-0.9749,-66.45
0.1795,-0.9749,-10.96
0.1879,-0.9749,-36.83
0.1962,-0.9749,-10.45
0.2046,-0.9749,-54.56
0.2129,-0.9749,150.29
0.2213,-0.9749,27.51
0.2296,-0.9749,-171.84
0.2380,-0.9749,-31.60
0.2463,-0.9749,-77.85
0.2547,-0.9749,-55.60
0.2630,-0.9749,-101.26
0.2714,-0.9749,-79.33
0.2797,-0.9749,-135.77
0.2881,-0.9749,-151.56
0.2965,-0.9749,-154.72
0.3048,-0.9749,-133.75
0.3132,-0.9749,83.90
0.3215,-0.9749,6.32
0.3299,-0.9749,-125.61
0.3382,-0.9749,-178.91
0.3466,-0.9749,-30.41
0.3549,-0.9749,-34.20
0.3633,-0.9749,57.04
0.3716,-0.9749,-59.91
0.3800,-0.9749,-35.81
0.3883,-0.9749,-58.45
0.3967,-0.9749,10.46
0.4050,-0.9749,17.60
0.4134,-0.9749,3.23
0.4217,-0.9749,87.83
0.4301,-0.9749,119.32
0.4384,-0.9749,-20.89
-0.5052,-0.9665,206.52
-0.4969,-0.9665,-55.56
-0.4885,-0.9665,79.02
-0.4802,-0.9665,-9.54
-0.4718,-0.9665,54.32
-0.4635,-0.9665,-45.31
-0.4551,-0.9665,22.70
-0.4468,-0.9665,170.35
-0.4384,-0.9665,-10.03
-0.4301,-0.9665,-105.23
-0.4217,-0.9665,18.21
-0.4134,-0.9665,58.77
-0.4050,-0.9665,25.92
-0.3967,-0.9665,-71.74
-0.3883,-0.9665,-5.17
-0.3800,-0.9665,-35.89
-0.3716,-0.9665,-224.33
-0.3633,-0.9665,62.25
-0.3549,-0.9665,52.58
-0.3466,-0.9665,-13.82
-0.3382,-0.9665,-30.19
-0.3299,-0.9665,9.93
-0.3215,-0.9665,12.95
-0.3132,-0.9665,-87.96
-0.3048,-0.9665,56.03
-0.2965,-0.9665,-8.94
-0.2881,-0.9665,31.98
-0.2797,-0.9665,-1.82
-0.2714,-0.9665,71.41
-0.2630,-0.9665,92.21
-0.2547,-0.9665,-73.85
-0.2463,-0.9665,51.00
-0.2380,-0.9665,43.60
-0.2296,-0.9665,114.68
-0.2213,-0.9665,37.67
-0.2129,-0.9665,143.66
-0.2046,-0.9665,-39.97
-0.1962,-0.9665,138.65
-0.1879,-0.9665,174.86
-0.1795,-0.9665,31.44
-0.1712,-0.9665,136.30
-0.1628,-0.9665,49.58
-0.1545,-0.9665,115.32
-0.1461,-0.9665,26.61
-0.1378,-0.9665,153.61
-0.1294,-0.9665,29.99
-0.1211,-0.9665,-11.19
-0.1127,-0.9665,92.63
-0.1044,-0.9665,139.36
-0.0960,-0.9665,7.36
-0.0877,-0.9665,73.95
-0.0793,-0.9665,88.52
-0.0710,-0.9665,78.45
-0.0626,-0.9665,-204.11
-0.0543,-0.9665,-111.37
-0.0459,-0.9665,-17.40
-0.0376,-0.9665,-129.66
-0.0292,-0.9665,94.62
-0.0209,-0.9665,164.71
-0.0125,-0.9665,131.39
-0.0042,-0.9665,126.57
0.0042,-0.9665,129.97
0.0125,-0.9665,98.08
0.0209,-0.9665,57.60
0.0292,-0.9665,-95.64
0.0376,-0.9665,73.30
0.0459,-0.9665,83.90
0.0543,-0.9665,35.58
0.0626,-0.9665,202.33
0.0710,-0.9665,148.95
0.0793,-0.9665,5.89
0.0877,-0.9665,263.38
0.0960,-0.9665,-139.78
0.1044,-0.9665,17.25
0.1127,-0.9665,-146.54
0.1211,-0.9665,-100.25
0.1294,-0.9665,-4.17
0.1378,-0.9665,57.70
0.1461,-0.9665,-140.89
0.1545,-0.9665,-92.48
0.1628,-0.9665,-82.85
0.1712,-0.9665,-127.56
0.1795,-0.9665,-26.00
0.1879,-0.9665,-2.57
0.1962,-0.9665,32.36
0.2046,-0.9665,79.61
0.2129,-0.9665,60.88
0.2213,-0.9665,-124.44
0.2296,-0.9665,1.18
0.2380,-0.9665,105.87
0.2463,-0.9665,-1.30
0.2547,-0.9665,-113.06
0.2630,-0.9665,10.74
0.2714,-0.9665,-78.87
0.2797,-0.9665,-202.22
0.2881,-0.9665,-65.52
0.2965,-0.9665,26.85
0.3048,-0.9665,34.96
0.3132,-0.9665,-73.72
0.3215,-0.9665,-133.05
0.3299,-0.9665,-151.43
0.3382,-0.9665,-199.25
0.3466,-0.9665,-72.07
0.3549,-0.9665,-121.76
0.3633,-0.9665,-97.90
0.3716,-0.9665,-136.87
0.3800,-0.9665,-115.09
0.3883,-0.9665,-17.72
0.3967,-0.9665,-117.31
0.4050,-0.9665,-143.24
0.4134,-0.9665,-100.25
0.4217,-0.9665,-82.38
0.4301,-0.9665,-94.67
0.4384,-0.9665,69.72
0.4468,-0.9665,-3.93
0.4551,-0.9665,-46.98
0.4635,-0.9665,-32.40
0.4718,-0.9665,50.19
0.4802,-0.9665,31.18
0.4885,-0.9665,153.36
0.4969,-0.9665,16.31
0.5052,-0.9665,-0.58
-0.5720,-0.9582,-88.50
-0.5637,-0.9582,-106.75
-0.5553,-0.9582,-63.94
-0.5470,-0.9582,66.65
-0.5386,-0.9582,290.09
-0.5303,-0.9582,32.68
-0.5219,-0.9582,3.02
-0.5136,-0.9582,39.12
-0.5052,-0.9582,86.12
-0.4969,-0.9582,63.79
-0.4885,-0.9582,207.96
-0.4802,-0.9582,-67.22
-0.4718,-0.9582,-33.17
-0.4635,-0.9582,54.66
-0.4551,-0.9582,-10.83
-0.4468,-0.9582,37.34
-0.4384,-0.9582,-64.54
-0.4301,-0.9582,95.22
-0.4217,-0.9582,-86.11
-0.4134,-0.9582,47.21
-0.4050,-0.9582,6.86
-0.3967,-0.9582,-14.49
-0.3883,-0.9582,-176.04
-0.3800,-0.9582,-107.51
-0.3716,-0.9582,-45.75
-0.3633,-0.9582,103.00
-0.3549,-0.9582,-120.71
-0.3466,-0.9582,93.14
-0.3382,-0.9582,6.37
-0.3299,-0.9582,-127.91
-0.3215,-0.9582,-24.42
-0.3132,-0.9582,13.77
-0.3048,-0.9582,143.78
-0.2965,-0.9582,89.38
-0.2881,-0.9582,-109.53
-0.2797,-0.9582,57.91
-0.2714,-0.9582,23.71
-0.2630,-0.9582,97.21
-0.2547,-0.9582,156.35
-0.2463,-0.9582,108.38
-0.2380,-0.9582,118.77
-0.2296,-0.9582,-60.04
-0.2213,-0.9582,-3.90
-0.2129,-0.9582,-5.51
-0.2046,-0.9582,-34.48
-0.1962,-0.9582,0.91
-0.1879,-0.9582,-29.32
-0.1795,-0.9582,-94.86
-0.1712,-0.9582,-144.67
-0.1628,-0.9582,8.20
-0.1545,-0.9582,38.40
-0.1461,-0.9582,40.84
-0.1378,-0.9582,-106.46
-0.1294,-0.9582,94.82
-0.1211,-0.9582,53.05
-0.1127,-0.9582,37.21
-0.1044,-0.9582,51.33
-0.0960,-0.9582,0.68
-0.0877,-0.9582,66.86
-0.0793,-0.9582,-96.72
-0.0710,-0.9582,-90.72
-0.0626,-0.9582,-82.43
-0.0543,-0.9582,90.28
-0.0459,-0.9582,27.59
-0.0376,-0.9582,-67.52
-0.0292,-0.9582,11.52
-0.0209,-0.9582,133.34
-0.0125,-0.9582,141.92
-0.0042,-0.9582,126.22
0.0042,-0.9582,59.46
0.0125,-0.9582,-52.07
0.0209,-0.9582,227.84
0.0292,-0.9582,67.50
0.0376,-0.9582,38.68
0.0459,-0.9582,65.70
0.0543,-0.9582,190.55
0.0626,-0.9582,164.98
0.0710,-0.9582,194.87
0.0793,-0.9582,95.43
0.0877,-0.9582,37.21
0.0960,-0.9582,81.60
0.1044,-0.9582,-7.89
0.1127,-0.9582,61.74
0.1211,-0.9582,54.24
0.1294,-0.9582,-9.36
0.1378,-0.9582,102.89
0.1461,-0.9582,22.75
0.1545,-0.9582,27.13
0.1628,-0.9582,-48.80
0.1712,-0.9582,123.07
0.1795,-0.9582,39.51
0.1879,-0.9582,82.35
0.1962,-0.9582,261.38
0.2046,-0.9582,148.40
0.2129,-0.9582,-73.75
0.2213,-0.9582,-9.14
0.2296,-0.9582,-34.18
0.2380,-0.9582,106.36
0.2463,-0.9582,84.44
0.2547,-0.9582,-20.05
0.2630,-0.9582,-127.96
0.2714,-0.9582,-23.15
0.2797,-0.9582,-124.52
0.2881,-0.9582,-9.62
0.2965,-0.9582,-17.79
0.3048,-0.9582,-159.92
0.3132,-0.9582,-157.66
0.3215,-0.9582,43.17
0.3299,-0.9582,-110.96
0.3382,-0.9582,-7.14
0.3466,-0.9582,-54.17
0.3549,-0.9582,-176.62
0.3633,-0.9582,28.23
0.3716,-0.9582,-49.70
0.3800,-0.9582,-246.34
0.3883,-0.9582,-134.37
0.3967,-0.9582,-233.14
0.4050,-0.9582,5.49
0.4134,-0.9582,-192.67
0.4217,-0.9582,-114.50
0.4301,-0.9582,-21.49
0.4384,-0.9582,-96.48
0.4468,-0.9582,-170.83
0.4551,-0.9582,15.26
0.4635,-0.9582,-26.98
0.4718,-0.9582,-2.85
0.4802,-0.9582,116.47
0.4885,-0.9582,-112.34
0.4969,-0.9582,63.50
0.5052,-0.9582,-12.20
0.5136,-0.9582,136.68
0.5219,-0.9582,7.52
0.5303,-0.9582,54.75
0.5386,-0.9582,-58.77
0.5470,-0.9582,49.58
0.5553,-0.9582,54.08
0.5637,-0.9582,-78.18
0.5720,-0.9582,49.18
-0.6221,-0.9498,186.37
-0.6138,-0.9498,14.22
-0.6054,-0.9498,42.51
-0.5971,-0.9498,15.15
-0.5887,-0.9498,-82.98
-0.5804,-0.9498,162.99
-0.5720,-0.9498,-98.18
-0.5637,-0.9498,53.85
-0.5553,-0.9498,113.32
-0.5470,-0.9498,89.82
-0.5386,-0.9498,-31.20
-0.5303,-0.9498,49.03
-0.5219,-0.9498,78.47
-0.5136,-0.9498,137.93
-0.5052,-0.9498,-122.30
-0.4969,-0.9498,30.65
-0.4885,-0.9498,51.50
-0.4802,-0.9498,47.43
-0.4718,-0.9498,-47.68
-0.4635,-0.9498,45.20
-0.4551,-0.9498,73.80
-0.4468,-0.9498,89.25
-0.4384,-0.9498,-141.11
-0.4301,-0.9498,100.29
-0.4217,-0.9498,-107.65
-0.4134,-0.9498,94.76
-0.4050,-0.9498,-46.74
-0.3967,-0.9498,-27.52
-0.3883,-0.9498,-32.68
-0.3800,-0.9498,-163.49
-0.3716,-0.9498,-35.96
-0.3633,-0.9498,-48.68
-0.3549,-0.9498,60.79
-0.3466,-0.9498,-17.34
-0.3382,-0.9498,122.29
-0.3299,-0.9498,114.74
-0.3215,-0.9498,-32.83
-0.3132,-0.9498,20.78
-0.3048,-0.9498,13.92
-0.2965,-0.9498,61.21
-0.2881,-0.9498,222.28
-0.2797,-0.9498,78.29
-0.2714,-0.9498,69.77
-0.2630,-0.9498,31.16
-0.2547,-0.9498,112.27
-0.2463,-0.9498,-82.72
-0.2380,-0.9498,4.28
-0.2296,-0.9498,115.51
-0.2213,-0.9498,35.57
-0.2129,-0.9498,7.02
-0.2046,-0.9498,-81.28
-0.1962,-0.9498,-71.45
-0.1879,-0.9498,28.87
-0.1795,-0.9498,-148.91
-0.1712,-0.9498,150.40
-0.1628,-0.9498,10.09
-0.1545,-0.9498,-58.32
-0.1461,-0.9498,24.11
-0.1378,-0.9498,20.76
-0.1294,-0.9498,-81.54
-0.1211,-0.9498,-13.89
-0.1127,-0.9498,-40.28
-0.1044,-0.9498,29.55
-0.0960,-0.9498,-44.11
-0.0877,-0.9498,-107.90
-0.0793,-0.9498,2.96
-0.0710,-0.9498,-10.30
-0.0626,-0.9498,-63.06
-0.0543,-0.9498,31.45
-0.0459,-0.9498,43.63
-0.0376,-0.9498,-6.68
-0.0292,-0.9498,-42.29
-0.0209,-0.9498,35.52
-0.0125,-0.9498,139.82
-0.0042,-0.9498,27.81
0.0042,-0.9498,80.16
0.0125,-0.9498,87.71
0.0209,-0.9498,-113.45
0.0292,-0.9498,138.94
0.0376,-0.9498,64.94
0.0459,-0.9498,111.94
0.0543,-0.9498,155.16
0.0626,-0.9498,117.99
0.0710,-0.9498,20.00
0.0793,-0.9498,103.26
0.0877,-0.9498,140.04
0.0960,-0.9498,34.00
0.1044,-0.9498,-75.91
0.1127,-0.9498,216.54
0.1211,-0.9498,-2.63
0.1294,-0.9498,-38.12
0.1378,-0.9498,124.33
0.1461,-0.9498,18.02
0.1545,-0.9498,103.55
0.1628,-0.9498,-62.22
0.1712,-0.9498,9.44
0.1795,-0.9498,93.85
0.1879,-0.9498,179.06
0.1962,-0.9498,-13.72
0.2046,-0.9498,-86.25
0.2129,-0.9498,-82.16
0.2213,-0.9498,-43.77
0.2296,-0.9498,-222.27
0.2380,-0.9498,-195.71
0.2463,-0.9498,-152.27
0.2547,-0.9498,-163.40
0.2630,-0.9498,-46.70
0.2714,-0.9498,21.14
0.2797,-0.9498,-37.33
0.2881,-0.9498,-137.27
0.2965,-0.9498,-77.30
0.3048,-0.9498,-5.67
0.3132,-0.9498,-56.33
0.3215,-0.9498,-109.18
0.3299,-0.9498,-77.30
0.3382,-0.9498,-64.55
0.3466,-0.9498,-171.88
0.3549,-0.9498,-0.31
0.3633,-0.9498,-86.83
0.3716,-0.9498,-139.96
0.3800,-0.9498,-10.71
0.3883,-0.9498,-18.34
0.3967,-0.9498,-129.84
0.4050,-0.9498,-118.36
0.4134,-0.9498,-40.02
0.4217,-0.9498,-89.18
0.4301,-0.9498,-2.38
0.4384,-0.9498,-127.96
0.4468,-0.9498,1.64
0.4551,-0.9498,-34.51
0.4635,-0.9498,-41.97
0.4718,-0.9498,-135.71
0.4802,-0.9498,66.31
0.4885,-0.9498,22.38
0.4969,-0.9498,-125.83
0.5052,-0.9498,-93.09
0.5136,-0.9498,-138.67
0.5219,-0.9498,12.17
0.5303,-0.9498,108.88
0.5386,-0.9498,29.53
0.5470,-0.9498,5.97
0.5553,-0.9498,-5.08
0.5637,-0.9498,15.17
0.5720,-0.9498,-141.13
0.5804,-0.9498,118.64
0.5887,-0.9498,146.97
0.5971,-0.9498,83.93
0.6054,-0.9498,-109.99
0.6138,-0.9498,-62.47
0.6221,-0.9498,156.57
-0.6722,-0.9414,-24.22
-0.6639,-0.9414,-104.63
-0.6555,-0.9414,-47.88
-0.6472,-0.9414,98.04
-0.6388,-0.9414,236.71
-0.6305,-0.9414,-64.70
-0.6221,-0.9414,108.84
-0.6138,-0.9414,81.26
-0.6054,-0.9414,123.91
-0.5971,-0.9414,24.22
-0.5887,-0.9414,92.08
-0.5804,-0.9414,98.51
-0.5720,-0.9414,216.33
-0.5637,-0.9414,66.93
-0.5553,-0.9414,103.45
-0.5470,-0.9414,-4.00
-0.5386,-0.9414,90.42
-0.5303,-0.9414,58.08
-0.5219,-0.9414,20.73
-0.5136,-0.9414,-35.83
-0.5052,-0.9414,56.34
-0.4969,-0.9414,87.59
-0.4885,-0.9414,65.53
-0.4802,-0.9414,18.36
-0.4718,-0.9414,86.77
-0.4635,-0.9414,74.25
-0.4551,-0.9414,89.69
-0.4468,-0.9414,31.04
-0.4384,-0.9414,78.96
-0.4301,-0.9414,94.89
-0.4217,-0.9414,-11.93
-0.4134,-0.9414,9.20
-0.4050,-0.9414,82.43
-0.3967,-0.9414,10.64
-0.3883,-0.9414,4.85
-0.3800,-0.9414,58.71
-0.3716,-0.9414,97.90
-0.3633,-0.9414,58.85
-0.3549,-0.9414,31.28
-0.3466,-0.9414,126.48
-0.3382,-0.9414,136.96
-0.3299,-0.9414,288.40
-0.3215,-0.9414,53.32
-0.3132,-0.9414,58.62
-0.3048,-0.9414,126.02
-0.2965,-0.9414,85.36
-0.2881,-0.9414,113.80
-0.2797,-0.9414,4.96
-0.2714,-0.9414,-26.78
-0.2630,-0.9414,-23.15
-0.2547,-0.9414,175.35
-0.2463,-0.9414,54.26
-0.2380,-0.9414,72.64
-0.2296,-0.9414,20.47
-0.2213,-0.9414,27.11
-0.2129,-0.9414,32.58
-0.2046,-0.9414,-28.75
-0.1962,-0.9414,90.45
-0.1879,-0.9414,130.93
-0.1795,-0.9414,12.63
-0.1712,-0.9414,8.73
-0.1628,-0.9414,-90.02
-0.1545,-0.9414,0.83
-0.1461,-0.9414,33.92
-0.1378,-0.9414,-6.08
-0.1294,-0.9414,162.20
-0.1211,-0.9414,209.97
-0.1127,-0.9414,25.18
-0.1044,-0.9414,-19.00
-0.0960,-0.9414,-14.47
-0.0877,-0.9414,-47.11
-0.0793,-0.9414,14.50
-0.0710,-0.9414,-29.94
-0.0626,-0.9414,242.29
-0.0543,-0.9414,-24.21
-0.0459,-0.9414,26.40
-0.0376,-0.9414,87.59
-0.0292,-0.9414,-46.18
-0.0209,-0.9414,9.18
-0.0125,-0.9414,109.01
-0.0042,-0.9414,69.54
0.0042,-0.9414,154.84
0.0125,-0.9414,12.36
0.0209,-0.9414,-10.56
0.0292,-0.9414,172.92
0.0376,-0.9414,265.04
0.0459,-0.9414,-52.26
0.0543,-0.9414,254.41
0.0626,-0.9414,52.91
0.0710,-0.9414,-28.24
0.0793,-0.9414,16.92
0.0877,-0.9414,91.15
0.0960,-0.9414,90.35
0.1044,-0.9414,140.96
0.1127,-0.9414,119.73
0.1211,-0.9414,46.14
0.1294,-0.9414,-53.25
0.1378,-0.9414,43.69
0.1461,-0.9414,-120.80
0.1545,-0.9414,27.19
0.1628,-0.9414,-108.27
0.1712,-0.9414,31.09
0.1795,-0.9414,138.54
0.1879,-0.9414,-101.00
0.1962,-0.9414,17.20
0.2046,-0.9414,21.49
0.2129,-0.9414,-64.59
0.2213,-0.9414,-44.01
0.2296,-0.9414,32.01
0.2380,-0.9414,-99.01
0.2463,-0.9414,130.42
0.2547,-0.9414,33.94
0.2630,-0.9414,-26.62
0.2714,-0.9414,30.26
0.2797,-0.9414,63.27
0.2881,-0.9414,100.19
0.2965,-0.9414,-34.21
0.3048,-0.9414,-62.01
0.3132,-0.9414,-122.39
0.3215,-0.9414,-13.57
0.3299,-0.9414,-51.64
0.3382,-0.9414,16.53
0.3466,-0.9414,-149.44
0.3549,-0.9414,-178.77
0.3633,-0.9414,-80.04
0.3716,-0.9414,-51.74
0.3800,-0.9414,-101.54
0.3883,-0.9414,-10.76
0.3967,-0.9414,-121.16
0.4050,-0.9414,-76.58
0.4134,-0.9414,-175.04
0.4217,-0.9414,-102.81
0.4301,-0.9414,-56.85
0.4384,-0.9414,-233.22
0.4468,-0.9414,-137.08
0.4551,-0.9414,-145.02
0.4635,-0.9414,-121.58
0.4718,-0.9414,-80.40
0.4802,-0.9414,-88.05
0.4885,-0.9414,24.41
0.4969,-0.9414,-114.48
0.5052,-0.9414,74.41
0.5136,-0.9414,-81.42
0.5219,-0.9414,44.62
0.5303,-0.9414,-43.03
0.5386,-0.9414,-140.55
0.5470,-0.9414,-52.06
0.5553,-0.9414,-118.58
0.5637,-0.9414,-36.16
0.5720,-0.9414,-6.93
0.5804,-0.9414,-139.20
0.5887,-0.9414,26.51
0.5971,-0.9414,-7.64
0.6054,-0.9414,-59.18
0.6138,-0.9414,96.63
0.6221,-0.9414,26.46
0.6305,-0.9414,-142.77
0.6388,-0.9414,145.95
0.6472,-0.9414,99.08
0.6555,-0.9414,44.28
0.6639,-0.9414,-9.63
0.6722,-0.9414,27.95
-0.7140,-0.9331,-21.97
-0.7056,-0.9331,96.99
-0.6973,-0.9331,115.69
-0.6889,-0.9331,-34.79
-0.6806,-0.9331,-20.66
-0.6722,-0.9331,-31.84
-0.6639,-0.9331,40.04
-0.6555,-0.9331,-54.86
-0.6472,-0.9331,-49.93
-0.6388,-0.9331,-131.92
-0.6305,-0.9331,-129.47
-0.6221,-0.9331,117.59
-0.6138,-0.9331,-131.24
-0.6054,-0.9331,173.18
-0.5971,-0.9331,3.66
-0.5887,-0.9331,23.45
-0.5804,-0.9331,-31.00
-0.5720,-0.9331,-40.24
-0.5637,-0.9331,-44.60
-0.5553,-0.9331,54.68
-0.5470,-0.9331,42.38
-0.5386,-0.9331,40.18
-0.5303,-0.9331,152.82
-0.5219,-0.9331,37.71
-0.5136,-0.9331,110.29
